accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays
29,1,4.745402,paypal,28.2048611111
725,1,4.742303,storecredit,0.0
845,1,4.921318,creditcard,0.0
503,1,4.886641,creditcard,0.0
2000,1,5.040929,creditcard,0.0
119,1,4.962055,paypal,0.0
2000,1,4.921349,paypal,0.0
371,1,4.876771,creditcard,0.0
2000,1,4.748314,creditcard,0.0
4,1,4.461622,creditcard,0.0
26,1,4.745402,paypal,0.0
2000,1,4.505662,creditcard,0.000694444444444
3,1,4.962055,creditcard,2.69097222222
3,1,4.921318,creditcard,2.06944444444
23,1,4.745402,creditcard,0.00138888888889
5,1,4.921349,paypal,4.03611111111
1208,1,4.836982,creditcard,0.000694444444444
11,1,4.921349,creditcard,10.8659722222
123,1,4.748314,creditcard,0.000694444444444
2000,1,4.895263,creditcard,248.774305556
1672,1,5.034622,creditcard,978.752777778
36,1,4.742303,creditcard,0.0145833333333
16,1,4.886641,creditcard,15.7965277778
278,1,5.034622,creditcard,6.89236111111
223,1,4.748314,creditcard,0.0
30,1,4.057414,creditcard,0.0
2,1,4.921349,creditcard,0.0
2000,1,3.483951,creditcard,503.425
1936,1,4.057414,creditcard,635.641666667
2000,1,4.921318,creditcard,948.806944444
2,1,4.505662,creditcard,1.20347222222
2000,1,4.836982,creditcard,0.00138888888889
998,1,4.921318,creditcard,0.0
914,1,4.461622,creditcard,0.00555555555556
23,1,2.596228,creditcard,0.000694444444444
2000,1,5.017904,creditcard,0.0
2,1,4.836982,creditcard,1.69722222222
19,1,4.505662,paypal,0.0
18,1,4.965339,creditcard,0.0
1562,1,4.505662,creditcard,981.346527778
288,1,4.748314,paypal,0.0
310,1,4.965339,creditcard,96.9423611111
2,1,4.921318,creditcard,0.0
2000,1,4.965339,storecredit,0.0
2,1,5.034622,creditcard,1.09791666667
2000,1,4.52458,paypal,0.00486111111111
1144,1,4.876771,creditcard,1142.90625
1743,1,4.836982,creditcard,367.813888889
817,1,4.962055,creditcard,0.00347222222222
2000,1,4.742303,creditcard,0.00694444444444
179,1,4.921318,storecredit,0.0
2000,1,4.886641,storecredit,212.140277778
204,1,4.886641,creditcard,0.0354166666667
2000,1,4.748314,paypal,641.321527778
2000,1,4.965339,creditcard,348.305555556
546,1,4.895263,paypal,0.000694444444444
2000,1,4.921318,paypal,597.16875
1409,1,4.962055,creditcard,0.00277777777778
210,1,4.876771,creditcard,0.0
2000,1,4.745402,paypal,1034.67152778
107,1,4.962055,creditcard,4.10555555556
406,1,4.836982,creditcard,405.136111111
34,1,4.962055,creditcard,33.9111111111
200,1,2.94894,creditcard,199.620833333
638,1,4.962055,creditcard,0.00138888888889
32,1,4.057414,paypal,23.4333333333
684,1,4.965339,paypal,316.036805556
2000,1,4.52458,creditcard,708.970833333
1657,1,4.921318,creditcard,26.2222222222
1133,1,4.921349,creditcard,65.85625
4,1,5.017904,creditcard,3.36597222222
599,1,4.962055,creditcard,0.0
2000,1,5.034622,paypal,544.96875
162,2,4.748314,creditcard,161.954861111
1407,1,4.962055,creditcard,0.0
2000,1,4.505662,creditcard,0.0
535,1,4.742303,creditcard,37.4270833333
735,1,4.748314,creditcard,0.0
1657,1,3.066058,paypal,244.559722222
3,1,4.876771,creditcard,2.77777777778
1397,1,4.748314,creditcard,342.889583333
222,1,4.921318,creditcard,221.259027778
913,1,4.895263,creditcard,0.0
1843,1,5.040929,creditcard,0.208333333333
19,1,4.886641,creditcard,0.00138888888889
2000,1,5.017904,creditcard,225.318055556
2000,1,4.742303,paypal,259.127777778
1014,1,4.965339,creditcard,666.010416667
2000,1,4.748314,creditcard,0.0
964,1,4.876771,creditcard,0.0
66,1,4.745402,paypal,0.954166666667
544,1,4.965339,paypal,0.0
1866,1,4.742303,paypal,145.461111111
2000,1,3.575983,creditcard,777.126388889
601,1,3.954522,creditcard,0.0
954,1,4.886641,creditcard,0.688888888889
211,1,4.505662,storecredit,202.078472222
2000,1,4.876771,creditcard,0.000694444444444
883,3,4.505662,paypal,424.275
1183,1,4.962055,creditcard,0.0
2000,1,5.017904,creditcard,372.04375
605,1,4.921318,creditcard,0.0
1625,1,4.895263,creditcard,0.0
1933,1,3.575983,creditcard,82.0305555556
3,1,4.836982,creditcard,0.0
2000,1,4.962055,paypal,0.00208333333333
1547,1,4.962055,paypal,0.00208333333333
54,1,4.962055,creditcard,0.0
279,1,4.745402,creditcard,113.7875
